RQ,电机后轴温度,电机前轴温度,电机绕组温度,电流,电压,瞬时流量,闸阀开度,真空度
2017-03-01 06:14:00,42.3384599675,43.5384607325,47.57692337,106.73827935,10.2135415075,393.265327475,45.5439815525,-0.868057251
2017-03-01 06:15:00,43.307691194,44.507691955999995,49.076923369999996,109.47916412000002,10.102778054,392.96875,83.119215392,-0.868057251
2017-03-01 06:16:00,44.338460925,45.538461685,49.84615326,108.75651169999999,10.2222220875,393.6270218,83.13078880249999,-0.868057251
2017-03-01 06:17:00,44.973076822500005,46.1730775825,50.42307663,110.069444675,10.1093752375,394.71209717500005,83.1307868925,-0.868057251
2017-03-01 06:18:00,45.4538440725,46.653844834999994,51.115385055000004,109.407554625,10.192708490000001,393.59085845,83.1524887075,-0.868057251
2017-03-01 06:19:00,45.90769195800001,47.107692718,51.830768586,110.52951354,10.098611256000002,397.22221679999996,83.10764160199999,-0.868057251
2017-03-01 06:20:00,46.223077775,47.423078535,52.557691575,109.0169239,10.2187502375,393.19300080000005,83.138023375,-0.868057251
2017-03-01 06:21:00,46.4730749175,47.6730756775,53.153846740000006,109.13628387499999,10.107639074999998,390.44416047500005,83.13078880249999,24.34895706175
2017-03-01 06:22:00,46.761537555000004,47.9423074725,53.84615326,108.85416792500001,10.166666745,391.637733475,83.12355423,-0.868057251
2017-03-01 06:23:00,46.973076822500005,48.17307758250001,54.3846158975,108.95182229999999,10.1510415075,390.66117095,83.08738708499999,-0.868057251
2017-03-01 06:24:00,47.261538505,48.4615392675,54.9423074725,108.7999153,10.1875,391.23986817499997,83.1090869925,-0.868057251
2017-03-01 06:25:00,47.49230576,48.69230652,55.630769348,108.98437652,10.194444275999999,394.76273191999996,83.09028015199999,-0.868057251
2017-03-01 06:26:00,47.72307587,48.92307663,56.153846740000006,109.548610675,10.15625024,391.7462387,83.138023375,-0.868057251
2017-03-01 06:27:00,47.992307665,49.19230842500001,56.711538315,109.396701825,10.14409733,392.433448775,83.1163196575,-0.868057251
2017-03-01 06:28:00,48.2038469325,49.40384769250001,57.230770109999995,108.995227825,10.16319442,392.50578307499995,83.10185623000001,-0.868057251
2017-03-01 06:29:00,48.41538334,49.6153841025,57.653844834999994,107.92100905000001,10.24305582,387.261283875,83.08015441750001,-0.868057251
2017-03-01 06:30:00,48.780768397500005,49.9807691575,58.230770109999995,108.48524474999998,10.215277675,391.1675415,83.072919845,-0.868057251
2017-03-01 06:31:00,49.01153850749999,50.2115392675,58.67307663,108.12717057500001,10.223958255,390.98670195,83.10908699000001,-0.868057251
2017-03-01 06:32:00,49.299998280000004,50.4999990475,59.1346158975,108.49609567499999,10.23090291,391.963241575,83.10185242,-0.868057251
2017-03-01 06:33:00,49.511536602499994,50.711537362499996,59.615384102499995,108.46354295,10.2656252375,393.807876575,83.0801525125,-0.868057251
2017-03-01 06:34:00,49.761537555000004,50.9807691575,60.0,108.59375002499999,10.234375,392.32493595,83.0946197525,-0.868057251
2017-03-01 06:35:00,50.069231035,51.269231794999996,60.480769157500006,108.539495475,10.2447917475,395.58015442500005,83.087387085,-0.868057251
2017-03-01 06:36:00,50.28076935,51.48077011000001,60.884614945,108.68055722499999,10.2204864,394.27806855000006,83.10185242,-0.868057251
2017-03-01 06:37:00,50.5307674425,51.730768205,61.346155165,108.38758659999999,10.269097565000001,391.85473635,83.10908889749999,-0.868057251
2017-03-01 06:38:00,50.72307587,51.92307663,61.730768205,108.48524092500001,10.236111165,394.205741875,83.101854325,-0.868057251
2017-03-01 06:39:00,50.915384294999996,52.115385055000004,62.115385055000004,108.8216133,10.243056059999999,391.23986817499997,83.0946197525,-0.868057251
2017-03-01 06:40:00,51.1653852475,52.36538600750001,62.55769157499999,108.30078127500002,10.2413194175,390.95051575,83.0801544175,-0.868057251
2017-03-01 06:41:00,51.430767824,52.630768586,62.938461304,108.22048491999999,10.244444466000001,392.7951355,83.07870636,-0.868057251
2017-03-01 06:42:00,51.6461525,52.84615326,63.30769348,108.37673567499999,10.194444417500002,392.035606375,77.669273375,-0.868057251
2017-03-01 06:43:00,51.82564036333333,53.02564112333334,63.64102427333333,71.32523093333333,10.266203883333333,397.1354166666667,15.663580576666666,-0.8680572510000001
2017-03-02 21:04:00,40.184616090000006,41.38461685,44.0576925275,98.8389759075,9.852430582,384.72945405,51.35272097800001,-0.868057251
2017-03-02 21:05:00,40.49230576,41.692306519999995,45.58974329666666,112.52893576666668,9.856481552333333,382.5231425333334,83.24652863,-0.8680572510000001
2017-03-02 21:06:00,40.72307587,41.92307663,46.38461558,113.02083586666667,9.798611005,382.0409037333334,83.24652863,-0.8680572510000001
2017-03-02 21:07:00,41.107692719999996,42.30769348,47.0,112.81829073333331,9.812499999666668,381.9444478666667,83.24652863,-0.8680572510000001
2017-03-02 21:08:00,41.44102351,42.641024273333336,47.641025543333335,112.86168923333334,9.807870229,382.0408834,83.24652863,-0.8680572510000001
2017-03-02 21:09:00,41.761537555000004,42.961538315,48.269231794999996,112.76042174999999,9.8125,379.48495479999997,83.24652863,-0.868057251
2017-03-02 21:10:00,42.3384599675,43.5384607325,49.0,112.065971375,9.87152791025,384.15075682500003,83.24652863,-0.868057251
2017-03-02 21:11:00,42.79999924,44.0,49.641025543333335,112.18171183333334,9.870370547,385.1755472666666,83.24652863,-0.8680572510000001
2017-03-02 21:12:00,43.13333384333333,44.333334603333334,50.20512898666667,113.0063629,9.817129771,382.5231526333334,83.24652863,-0.8680572510000001
2017-03-02 21:13:00,43.49230575666667,44.692306519999995,50.82051213666667,112.31192526666666,9.835648218666668,383.24653116666667,83.24652863,-0.8680572510000001
2017-03-02 21:14:00,43.82564036333333,45.02564112333334,51.358975726666664,112.61574046666665,9.833333333333334,381.1728515666667,83.24652863,-0.8680572510000001
2017-03-02 21:15:00,44.184615135,45.3846158975,51.9807691575,112.57595445000001,9.84895849225,382.486991875,83.24652863,-0.868057251
2017-03-02 21:16:00,44.607690815,45.807691575,52.769229890000005,112.65190884999998,9.847222327999999,383.9698944,83.24652863,-0.868057251
